seq,tx_ts,rx_ts,latency_ns
194,1763689448717333525,1763689448717249610,-83915
195,1763689448718391823,1763689448718308511,-83312
196,1763689448719452028,1763689448719370911,-81117
197,1763689448720511919,1763689448720430867,-81052
198,1763689448721571791,1763689448721490267,-81524
199,1763689448722632608,1763689448722550390,-82218
200,1763689448723692536,1763689448723611253,-81283
201,1763689448724752334,1763689448724670246,-82088
202,1763689448725812058,1763689448725729739,-82319
203,1763689448726872819,1763689448726790806,-82013
204,1763689448727932580,1763689448727851391,-81189
205,1763689448728992230,1763689448728910847,-81383
206,1763689448730051843,1763689448729970007,-81836
207,1763689448731112586,1763689448731030481,-82105
208,1763689448732172366,1763689448732091141,-81225
209,1763689448733231979,1763689448733148560,-83419
210,1763689448734291721,1763689448734209534,-82187
211,1763689448735352556,1763689448735275249,-77307
212,1763689448736412392,1763689448736330076,-82316
213,1763689448737472134,1763689448737389976,-82158
214,1763689448738532914,1763689448738451598,-81316
215,1763689448739592730,1763689448739511536,-81194
216,1763689448740652399,1763689448740570140,-82259
217,1763689448741712160,1763689448741629651,-82509
218,1763689448742772977,1763689448742692089,-80888
219,1763689448743832812,1763689448743751841,-80971
220,1763689448744892610,1763689448744810445,-82165
221,1763689448745952297,1763689448745869679,-82618
222,1763689448747013058,1763689448746930986,-82072
223,1763689448748072856,1763689448747992553,-80303
224,1763689448749132655,1763689448749050176,-82479
225,1763689448750192471,1763689448750110391,-82080
226,1763689448751253177,1763689448751184328,-68849
227,1763689448752312901,1763689448752235525,-77376
228,1763689448753372606,1763689448753291037,-81569
229,1763689448754433330,1763689448754351270,-82060
230,1763689448755493203,1763689448755411689,-81514
231,1763689448756552964,1763689448756471997,-80967
232,1763689448757612651,1763689448757530953,-81698
233,1763689448758673523,1763689448758591427,-82096
234,1763689448759733229,1763689448759651883,-81346
235,1763689448760792860,1763689448760710746,-82114
236,1763689448761852603,1763689448761770980,-81623
237,1763689448762913364,1763689448762831306,-82058
238,1763689448763973273,1763689448763892373,-80900
239,1763689448765032738,1763689448764950366,-82372
240,1763689448766092481,1763689448766010100,-82381
241,1763689448767153260,1763689448767071000,-82260
242,1763689448768213132,1763689448768131734,-81398
243,1763689448769272912,1763689448769194005,-78907
244,1763689448770332655,1763689448770251405,-81250
245,1763689448771393286,1763689448771312916,-80370
246,1763689448772453084,1763689448772371132,-81952
247,1763689448773512716,1763689448773430532,-82184
248,1763689448774573477,1763689448774491488,-81989
249,1763689448775633312,1763689448775553314,-79998
250,1763689448776693036,1763689448776610733,-82303
251,1763689448777752723,1763689448777670670,-82053
252,1763689448778813429,1763689448778731422,-82007
253,1763689448779873245,1763689448779792804,-80441
254,1763689448780932988,1763689448780851168,-81820
255,1763689448781992768,1763689448781910716,-82052
256,1763689448783053584,1763689448782971635,-81949
257,1763689448784113420,1763689448784032665,-80755
258,1763689448785173236,1763689448785090899,-82337
259,1763689448786232923,1763689448786150614,-82309
260,1763689448787293684,1763689448787212514,-81170
261,1763689448788353427,1763689448788271137,-82290
262,1763689448789413170,1763689448789331463,-81707
263,1763689448790473912,1763689448790391697,-82215
264,1763689448791533766,1763689448791452208,-81558
265,1763689448792593508,1763689448792510886,-82622
266,1763689448793653251,1763689448793571138,-82113
267,1763689448794714105,1763689448794633076,-81029
268,1763689448795774014,1763689448795693050,-80964
269,1763689448796833664,1763689448796751450,-82214
270,1763689448797893407,1763689448797811536,-81871
271,1763689448798954168,1763689448798872362,-81806
272,1763689448800014021,1763689448799932966,-81055
273,1763689448801073597,1763689448800991144,-82453
274,1763689448802133340,1763689448802050860,-82480
275,1763689448803194101,1763689448803113704,-80397
276,1763689448804253973,1763689448804172456,-81517
277,1763689448805313753,1763689448805231690,-82063
278,1763689448806373347,1763689448806302590,-70757
279,1763689448807433775,1763689448807352991,-80784
280,1763689448808493499,1763689448808411373,-82126
281,1763689448809553427,1763689448809470736,-82691
282,1763689448810614262,1763689448810531988,-82274
283,1763689448811674172,1763689448811593722,-80450
284,1763689448812733970,1763689448812651715,-82255
285,1763689448813793712,1763689448813711041,-82671
286,1763689448814854529,1763689448814772219,-82310
287,1763689448815913938,1763689448815832694,-81244
288,1763689448816973718,1763689448816893464,-80254
289,1763689448818033442,1763689448817951216,-82226
290,1763689448819094129,1763689448819012135,-81994
291,1763689448820153927,1763689448820072776,-81151
292,1763689448821213596,1763689448821131436,-82160
293,1763689448822273264,1763689448822190836,-82428
294,1763689448823334025,1763689448823253107,-80918
295,1763689448824392601,1763689448824310026,-82575
296,1763689448825450973,1763689448825369593,-81380
297,1763689448826511012,1763689448826430641,-80371
298,1763689448827570959,1763689448827489616,-81343
299,1763689448828630794,1763689448828548516,-82278
300,1763689448829690518,1763689448829608287,-82231
301,1763689448830751353,1763689448830671595,-79758
302,1763689448831811225,1763689448831729754,-81471
303,1763689448832870931,1763689448832788395,-82536
304,1763689448833930581,1763689448833847999,-82582
305,1763689448834991286,1763689448834909177,-82109
306,1763689448836051196,1763689448835969763,-81433
307,1763689448837110883,1763689448837028719,-82164
308,1763689448838170681,1763689448838088027,-82654
309,1763689448839231349,1763689448839150094,-81255
310,1763689448840291148,1763689448840209901,-81247
311,1763689448841350872,1763689448841268061,-82811
312,1763689448842411651,1763689448842329276,-82375
313,1763689448843471505,1763689448843389825,-81680
314,1763689448844531118,1763689448844449632,-81486
315,1763689448845590786,1763689448845507959,-82827
316,1763689448846651548,1763689448846571192,-80356
317,1763689448847711309,1763689448847629944,-81365
318,1763689448848771014,1763689448848688586,-82428
319,1763689448849830701,1763689448849748319,-82382
320,1763689448850891444,1763689448850809016,-82428
321,1763689448851951335,1763689448851869527,-81808
322,1763689448853010966,1763689448852929372,-81594
323,1763689448854070746,1763689448853989698,-81048
324,1763689448855131414,1763689448855050043,-81371
